IP:PORT, LOSS, DELAY
162.159.192.43:8886,0.00%,151 ms
162.159.192.52:3854,0.00%,152 ms
162.159.192.248:8886,0.00%,153 ms
162.159.195.129:3854,0.00%,155 ms
162.159.195.40:8886,0.00%,161 ms
162.159.195.146:3854,0.00%,163 ms
162.159.192.114:3854,0.00%,163 ms
162.159.195.40:3854,0.00%,165 ms
162.159.192.20:8886,0.00%,165 ms
162.159.192.31:8886,0.00%,165 ms
162.159.192.172:3854,0.00%,165 ms
162.159.195.243:8886,0.00%,165 ms
162.159.195.129:8886,0.00%,167 ms
162.159.192.20:3854,0.00%,167 ms
162.159.195.243:3854,0.00%,167 ms
162.159.195.203:8886,0.00%,174 ms
162.159.192.152:8886,0.00%,175 ms
162.159.195.76:8886,0.00%,176 ms
162.159.192.77:8886,0.00%,176 ms
162.159.195.166:8886,0.00%,178 ms
162.159.195.176:8886,0.00%,184 ms
162.159.192.94:8886,0.00%,191 ms
162.159.195.185:8886,0.00%,192 ms
162.159.195.166:3854,0.00%,194 ms
162.159.192.94:3854,0.00%,195 ms
188.114.98.75:8886,0.00%,231 ms
188.114.99.72:3854,0.00%,253 ms
188.114.98.229:8886,0.00%,260 ms
188.114.98.181:8886,0.00%,260 ms
188.114.97.113:8886,0.00%,262 ms
188.114.98.68:3854,0.00%,262 ms
188.114.99.52:8886,0.00%,262 ms
188.114.96.235:8886,0.00%,262 ms
188.114.97.167:3854,0.00%,267 ms
188.114.99.12:3854,0.00%,270 ms
188.114.96.170:8886,0.00%,272 ms
188.114.98.189:3854,0.00%,272 ms
188.114.97.75:3854,0.00%,273 ms
188.114.99.72:8886,0.00%,273 ms
188.114.99.253:8886,0.00%,273 ms
188.114.97.75:8886,0.00%,274 ms
188.114.99.12:8886,0.00%,275 ms
188.114.97.228:3854,0.00%,278 ms
188.114.97.124:3854,0.00%,279 ms
188.114.98.22:3854,0.00%,282 ms
188.114.98.181:3854,0.00%,282 ms
188.114.98.14:8886,0.00%,282 ms
188.114.98.229:3854,0.00%,285 ms
188.114.97.34:3854,0.00%,290 ms
188.114.96.211:3854,0.00%,291 ms
188.114.98.14:3854,0.00%,291 ms
188.114.96.236:3854,0.00%,293 ms
188.114.99.71:8886,0.00%,295 ms
188.114.96.236:8886,0.00%,295 ms
188.114.98.222:3854,0.00%,295 ms
188.114.98.222:8886,0.00%,296 ms
188.114.98.208:8886,0.00%,296 ms
188.114.96.100:8886,0.00%,297 ms
188.114.97.38:8886,0.00%,299 ms
188.114.99.244:8886,0.00%,300 ms
188.114.97.7:8886,0.00%,300 ms
188.114.99.244:3854,0.00%,302 ms
188.114.96.28:8886,0.00%,302 ms
188.114.97.228:8886,0.00%,303 ms
188.114.96.78:8886,0.00%,303 ms
188.114.99.31:3854,0.00%,304 ms
