IP:PORT, LOSS, DELAY
[2606:4700:d1::7cb3:2eac:791b:a339]:4198,0.00%,180 ms
[2606:4700:d1::2704:1d16:ebc6:b93e]:1180,0.00%,181 ms
[2606:4700:d1::b0ad:73b5:2649:160a]:1180,0.00%,181 ms
[2606:4700:d0::e7be:4de8:8761:2f26]:1180,0.00%,181 ms
[2606:4700:d0::4323:7e9a:782:f0d4]:1180,0.00%,181 ms
[2606:4700:d0::1dd5:ebc9:5fe0:14e3]:4198,0.00%,181 ms
[2606:4700:d0::7b63:af68:f114:38b5]:1180,0.00%,181 ms
[2606:4700:d0::89af:8176:90c3:a0a9]:1180,0.00%,181 ms
[2606:4700:d0::7cb3:2eac:791b:a339]:4198,0.00%,181 ms
[2606:4700:d0::7971:dd97:8037:e6de]:4198,0.00%,181 ms
[2606:4700:d1::da16:9261:a602:41c7]:4198,0.00%,182 ms
[2606:4700:d1::3c64:f06d:afc:8c99]:4198,0.00%,183 ms
[2606:4700:d1::2704:1d16:ebc6:b93e]:4198,0.00%,183 ms
[2606:4700:d1::d2b5:cea:dc66:20b8]:4198,0.00%,183 ms
[2606:4700:d1::d2b5:cea:dc66:20b8]:1180,0.00%,183 ms
[2606:4700:d1::5bfe:e354:4b9f:d692]:1180,0.00%,183 ms
[2606:4700:d0::537b:ddeb:486a:33df]:1180,0.00%,183 ms
[2606:4700:d0::b980:6563:e874:154a]:1180,0.00%,183 ms
[2606:4700:d0::7877:c11d:4da0:69c4]:4198,0.00%,183 ms
[2606:4700:d0::e7be:4de8:8761:2f26]:4198,0.00%,183 ms
[2606:4700:d0::e880:821:5e5e:627c]:1180,0.00%,183 ms
[2606:4700:d0::b980:6563:e874:154a]:4198,0.00%,183 ms
[2606:4700:d0::b0ad:73b5:2649:160a]:1180,0.00%,183 ms
[2606:4700:d0::7877:c11d:4da0:69c4]:1180,0.00%,183 ms
[2606:4700:d0::6f99:4eb2:7232:4006]:4198,0.00%,183 ms
[2606:4700:d0::ddf8:f0eb:585b:3cfc]:1180,0.00%,183 ms
[2606:4700:d0::d2b5:cea:dc66:20b8]:4198,0.00%,183 ms
[2606:4700:d0::3c64:f06d:afc:8c99]:1180,0.00%,183 ms
[2606:4700:d0::54f4:4a11:5bbe:1ad2]:4198,0.00%,183 ms
[2606:4700:d0::388c:402f:c066:1dcf]:4198,0.00%,183 ms
[2606:4700:d0::2704:1d16:ebc6:b93e]:4198,0.00%,183 ms
[2606:4700:d0::388c:402f:c066:1dcf]:1180,0.00%,183 ms
[2606:4700:d0::8222:16ed:cecc:e59d]:1180,0.00%,183 ms
[2606:4700:d1::2853:cac6:21b8:25a6]:4198,0.00%,188 ms
[2606:4700:d1::ed12:eff2:7979:cd85]:1180,0.00%,188 ms
[2606:4700:d1::388c:402f:c066:1dcf]:1180,0.00%,188 ms
[2606:4700:d1::6f99:4eb2:7232:4006]:4198,0.00%,188 ms
[2606:4700:d1::e880:821:5e5e:627c]:1180,0.00%,188 ms
[2606:4700:d1::c63c:8f7b:f537:2001]:4198,0.00%,188 ms
[2606:4700:d1::b1ba:329:9d82:b433]:1180,0.00%,188 ms
[2606:4700:d1::e880:821:5e5e:627c]:4198,0.00%,188 ms
[2606:4700:d1::da16:9261:a602:41c7]:1180,0.00%,188 ms
[2606:4700:d1::7b63:af68:f114:38b5]:1180,0.00%,192 ms
[2606:4700:d1::bbaf:edc7:2149:4b99]:4198,0.00%,192 ms
[2606:4700:d1::b1ba:329:9d82:b433]:4198,0.00%,192 ms
[2606:4700:d1::54f4:4a11:5bbe:1ad2]:4198,0.00%,192 ms
[2606:4700:d1::fab7:d891:3d77:f64f]:4198,0.00%,192 ms
[2606:4700:d0::b1ba:329:9d82:b433]:1180,0.00%,192 ms
[2606:4700:d1::bbaf:edc7:2149:4b99]:1180,0.00%,193 ms
[2606:4700:d1::a67a:49d9:b78b:8d95]:4198,0.00%,193 ms
[2606:4700:d1::537b:ddeb:486a:33df]:1180,0.00%,193 ms
[2606:4700:d1::dd6:148d:4706:1b11]:4198,0.00%,193 ms
[2606:4700:d0::b1ba:329:9d82:b433]:4198,0.00%,193 ms
[2606:4700:d1::d4f0:1c5d:e094:9e1f]:1180,0.00%,193 ms
[2606:4700:d1::fab7:d891:3d77:f64f]:1180,0.00%,193 ms
[2606:4700:d0::ddf8:f0eb:585b:3cfc]:4198,0.00%,193 ms
[2606:4700:d1::1dd5:ebc9:5fe0:14e3]:1180,0.00%,193 ms
[2606:4700:d1::3c53:f98c:e6ce:79e3]:1180,0.00%,194 ms
[2606:4700:d1::3c53:f98c:e6ce:79e3]:4198,0.00%,194 ms
[2606:4700:d1::b980:6563:e874:154a]:1180,0.00%,194 ms
[2606:4700:d1::1e25:105f:f5c3:5473]:4198,0.00%,195 ms
[2606:4700:d1::89af:8176:90c3:a0a9]:1180,0.00%,195 ms
[2606:4700:d1::1854:1ad:a5b3:934d]:4198,0.00%,195 ms
[2606:4700:d0::4323:7e9a:782:f0d4]:4198,0.00%,195 ms
[2606:4700:d0::5bfe:e354:4b9f:d692]:1180,0.00%,195 ms
